Afrikaans,af,Kies taal:,Uitkies,Wikipedia -artikelvergelykinginstrument,Vergelyk,Kies vergelykingsinstrument:,Kies ooreenkomspersentasie:,Vertaal,Helder,Woord telling:,Ooreenkomste persentasie:,Fout: Geen teks in die bronkas nie!,"Om te vertaal, is teks in die bronkas nodig, sodat die teks in die teikenvak vertaal kan word om aan te pas.",Fout: Te veel karakters,"Die lengte van die teks wat u probeer vertaal, oorskry die karakterlimiet van 4500.",Bron,Teiken
Albanian,sq,Zgjidh gjuhen:,Zgjedh,Vegla e krahasimit të artikullit Wikipedia,Krahasoj,Zgjidhni mjetin e krahasimit:,Zgjidhni Përqindjen e ngjashmërisë:,Përkthej,Qartë,Numërimi i fjalëve:,Përqindja e ngjashmërisë:,Gabim: Asnjë tekst në kutinë e burimit!,"Për të përkthyer, teksti është i nevojshëm në kutinë e burimit në mënyrë që teksti në kutinë e synuar të mund të përkthehet në përputhje.",Gabim: Shumë karaktere,Gjatësia e tekstit që po përpiqeni të përktheni tejkalon kufirin e karakterit prej 4500.,Burim,Objektiv
Amharic,am,ቋንቋ ይምረጡ,ይምረጡ,ውክፔዲያ ጽሑፍ ንፅፅር መሣሪያ,አነፃፅር,ንፅፅር መሣሪያን ይምረጡ,ተመሳሳይነት መቶኛ ይምረጡ-,መተርጎም,ማጽዳት,የቃል ቆጠራ,ተመሳሳይነት መቶኛ,ስህተት-በመረጃ ሳጥን ውስጥ ምንም ጽሑፍ የለም!,"Target ላማው ሳጥን ውስጥ ያለው ጽሑፍ እንዲዛመዱ ሊተረጎም የሚችል በመተርጎም ላይ ለመተርጎም, ጽሑፍ ያስፈልጋል.",ስህተት-በጣም ብዙ ቁምፊዎች,ከ 4500 የባህሪ ገደቦች ጋር ለመተርጎም እየሞከሩ ያሉት የጽሑፍ ርዝመት.,ምንጭ,Target ላማ
Arabic,ar,اختار اللغة:,يختار,أداة مقارنة مقالة ويكيبيديا,يقارن,حدد أداة المقارنة:,حدد النسبة المئوية للتشابه:,يترجم,واضح,عدد الكلمات:,نسبة التشابه:,خطأ: لا يوجد نص في مربع المصدر!,من أجل الترجمة ، هناك حاجة إلى نص في مربع المصدر بحيث يمكن ترجمة النص في المربع الهدف للمطابقة.,خطأ: الكثير من الأحرف,يتجاوز طول النص الذي تحاول ترجمته حد الأحرف 4500.,مصدر,هدف
Armenian,hy,Ընտրել լեզուն:,Ընտրել,Վիքիպեդիայի հոդվածների համեմատության գործիք,Համեմատել,Ընտրեք համեմատության գործիք.,Ընտրեք նմանության տոկոսը.,Թարգմանել,Պարզ,Բառի հաշվիչ:,Նմանության տոկոս.,Սխալ. Ոչ մի տեքստ աղբյուրի տուփի մեջ:,"Թարգմանելու համար տեքստը անհրաժեշտ է աղբյուրի վանդակում, որպեսզի թիրախային տուփի մեջ տեքստը կարողանաք թարգմանվել:","Սխալ, չափազանց շատ նիշ","Ձեր տեքստի երկարությունը, որը փորձում եք թարգմանել, գերազանցում է 4500 նիշերի սահմանը:",Աղբյուր,Թիրախ
Assamese,as,ভাষা নিৰ্বাচন কৰক:,চয়ন কৰা,ৱিকিপিডিয়া প্ৰবন্ধ তুলনা সঁজুলি,তুলনা কৰা,তুলনা সঁজুলি নিৰ্ব্বাচন কৰক:,সাদৃশ্য শতাংশ নিৰ্বাচন কৰক:,অনুবাদ কৰা,পৰিষ্কাৰ,শব্দ গণনা:,সাদৃশ্য শতাংশ:,ভুল: উৎস বাকচত কোনো লিখনী নাই!,"অনুবাদ কৰিবলৈ, উৎস বাকচত লিখনীৰ প্ৰয়োজন যাতে লক্ষ্য বাকচত থকা লিখনীটো মিলাবলৈ অনুবাদ কৰিব পাৰি।",ত্ৰুটি: বহুত চৰিত্ৰ,আপুনি অনুবাদ কৰিবলৈ চেষ্টা কৰা লিখনীৰ দৈৰ্ঘ্যই 4500 ৰ আখৰৰ সীমা অতিক্ৰম কৰে।,উত্‍স,লক্ষ্য
Aymara,ay,Arunak ajlliñamawa:,Ajlliña,Wikipedia Artículo Comparación Herramienta .,Alaña,Ajlliñani Herramienta de Comparación:,Sapa patakata uñtasïwi ajlliñani: 1.1.,Jaqukipaña,Qhana,Aru jakhu: 1.1.,Similaridad porcentaje: 1.1.,"Pantjasiw: ¡Janiw kuna qillqatas utjkiti, ukax Source Box ukankiwa!","Jaqukipañatakixa, qillqataxa fuente ukanxa wakisiwa, ukhamata Target uka chimpuxa chiqapa uñt’ayañataki jaqukipañataki.",Pantjasiwi: Walja jaqinakawa .,Qillqañ yant’apkta ukax 4500 ukharuw puri.,Phunti,Amta
Azerbaijani,az,Dil seçin:,Seçmək,Wikipedia məqalə müqayisə vasitəsi,Müqayisə etmək,Müqayisə alətini seçin:,Bənzərlik faizini seçin:,Tərcümə etmək,Aydın,Söz sayı:,Bənzərlik faizi:,Xəta: Mənbə qutusunda mətn yoxdur!,"Tərcümə etmək üçün, hədəf qutusundakı mətnin uyğunlaşdırıla bilməsi üçün mənbə qutusuna mətn lazımdır.",Xəta: Çox simvol,Tərcümə etməyə çalışdığınız mətnin uzunluğu 4500-ə qədərdir.,Mənbəyi,Hədəfi
Bambara,bm,kan sugandi:,Ka sugandi,Wikipedia article comparaison baarakɛminɛn .,Ka sanga,A’ ye Comparaison Tool sugandi:,Sugandili kɛ kɛmɛsarada la:,Ka bayɛlɛma,Jɛman,Daɲɛw jatebɔ:,O ɲɔgɔnna kɛmɛsarada la:,Misali: Sɛbɛnni tɛ sɔrɔ source box kɔnɔ!,"Walasa ka baara Kɛ, sɛbɛnni mago bɛ 'sèn na 'sènfɛ-yɔrɔ la walasa sɛbɛnni min bɛ laɲini-yɔrɔ la, o ka Se ka baara Kɛ ni o ye.",Misali: Karamɔgɔ caman kojugu .,"I b’a ɲini ka sɛbɛnni janya min baara, o bɛ tɛmɛ 4500 taamasiyɛn dan kan.",Bununda,Kun
Basque,eu,Hautatu Hizkuntza:,Hautatu,Wikipedia artikuluaren konparazio tresna,Alderatu,Hautatu Konparaziorako tresna:,Aukeratu antzekotasun portzentajea:,Itzuli,Hustu,Hitz kopurua:,Antzekotasun portzentajea:,ERROREA: ez da testurik iturburu-koadroan!,"Itzuli ahal izateko, testua behar da iturburu laukian, xede-koadroan testua bat datozen.",Errorea: pertsonaia gehiegi,Itzuli nahi duzun testuaren iraupena 4500 karaktere muga gainditzen du.,Iturri,Jomuga
